value,type,time,unit_id,device,season,error
3,pm10,4/18/2017 19:15,SASA_MO3,12398,Pilot,0
3,pm10,4/18/2017 19:30,SASA_MO3,12398,Pilot,0
4,pm10,4/18/2017 19:45,SASA_MO3,12398,Pilot,0
4,pm10,4/18/2017 20:00,SASA_MO3,12398,Pilot,0
4,pm10,4/18/2017 20:15,SASA_MO3,12398,Pilot,0
5,pm10,4/18/2017 20:30,SASA_MO3,12398,Pilot,0
8,pm10,4/18/2017 20:45,SASA_MO3,12398,Pilot,0
5,pm10,4/18/2017 21:00,SASA_MO3,12398,Pilot,0
5,pm10,4/18/2017 21:15,SASA_MO3,12398,Pilot,0
6,pm10,4/18/2017 21:30,SASA_MO3,12398,Pilot,0
6,pm10,4/18/2017 21:45,SASA_MO3,12398,Pilot,0
5,pm10,4/18/2017 22:00,SASA_MO3,12398,Pilot,0
5,pm10,4/18/2017 22:15,SASA_MO3,12398,Pilot,0
10,pm10,4/18/2017 22:30,SASA_MO3,12398,Pilot,0
11,pm10,4/18/2017 22:45,SASA_MO3,12398,Pilot,0
4,pm10,4/18/2017 23:00,SASA_MO3,12398,Pilot,0
4,pm10,4/18/2017 23:15,SASA_MO3,12398,Pilot,0
4,pm10,4/18/2017 23:30,SASA_MO3,12398,Pilot,0
4,pm10,4/18/2017 23:45,SASA_MO3,12398,Pilot,0
5,pm10,4/19/2017 0:00,SASA_MO3,12398,Pilot,0
4,pm10,4/19/2017 0:15,SASA_MO3,12398,Pilot,0
4,pm10,4/19/2017 0:30,SASA_MO3,12398,Pilot,0
5,pm10,4/19/2017 0:45,SASA_MO3,12398,Pilot,0
5,pm10,4/19/2017 1:00,SASA_MO3,12398,Pilot,0
5,pm10,4/19/2017 1:15,SASA_MO3,12398,Pilot,0
5,pm10,4/19/2017 1:30,SASA_MO3,12398,Pilot,0
5,pm10,4/19/2017 1:45,SASA_MO3,12398,Pilot,0
5,pm10,4/19/2017 2:00,SASA_MO3,12398,Pilot,0
6,pm10,4/19/2017 2:15,SASA_MO3,12398,Pilot,0
6,pm10,4/19/2017 2:30,SASA_MO3,12398,Pilot,0
6,pm10,4/19/2017 2:45,SASA_MO3,12398,Pilot,0
6,pm10,4/19/2017 3:00,SASA_MO3,12398,Pilot,0
7,pm10,4/19/2017 3:15,SASA_MO3,12398,Pilot,0
6,pm10,4/19/2017 3:30,SASA_MO3,12398,Pilot,0
6,pm10,4/19/2017 3:45,SASA_MO3,12398,Pilot,0
6,pm10,4/19/2017 4:00,SASA_MO3,12398,Pilot,0
6,pm10,4/19/2017 4:15,SASA_MO3,12398,Pilot,0
6,pm10,4/19/2017 4:30,SASA_MO3,12398,Pilot,0
6,pm10,4/19/2017 4:45,SASA_MO3,12398,Pilot,0
7,pm10,4/19/2017 5:00,SASA_MO3,12398,Pilot,0
6,pm10,4/19/2017 5:15,SASA_MO3,12398,Pilot,0
8,pm10,4/19/2017 5:30,SASA_MO3,12398,Pilot,0
7,pm10,4/19/2017 5:45,SASA_MO3,12398,Pilot,0
